DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES
2023-10-01,1,PE,INTER,2108,1502692.8
2023-10-01,1,PE,ITAU,606,435767.77
2023-10-01,1,PE,NUBANK,3078,2013849.45
2023-10-01,1,PE,SANTANDER,574,382190.33
2023-10-01,1,PE,VOTORANTIM,27,23210.51
2023-10-01,1,PI,BANCO SICOOB,2,685.98
2023-10-01,1,PI,BB,252,158765.14
2023-10-01,1,PI,BMG,182,151407.04
2023-10-01,1,PI,BRADESCO,168,135797.26
2023-10-01,1,PI,BTG PACTUAL,341,271335.62
2023-10-01,1,PI,C6 BANK,50,37367.48
2023-10-01,1,PI,CAIXA ECONÔMICA FEDERAL,205,175853.37
2023-10-01,1,PI,CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,1,1039.09
2023-10-01,1,PI,INTER,752,631788.24
2023-10-01,1,PI,ITAU,115,76534.93
2023-10-01,1,PI,NUBANK,1366,1029254.84
2023-10-01,1,PI,SANTANDER,125,101150.92
2023-10-01,1,PI,VOTORANTIM,12,7359.87
2023-10-01,1,PR,BANCO SICOOB,25,15174.91
2023-10-01,1,PR,BB,204,124352.97
2023-10-01,1,PR,BMG,519,422843.88
2023-10-01,1,PR,BRADESCO,492,313558.6
2023-10-01,1,PR,BTG PACTUAL,1069,836014.0
2023-10-01,1,PR,C6 BANK,228,144277.0
2023-10-01,1,PR,CAIXA ECONÔMICA FEDERAL,461,303306.53
2023-10-01,1,PR,CC SICOOB VALE SUL,5,5849.06
2023-10-01,1,PR,CCLA DO CENTRO SUL RONDONIENSE,1,678.62
2023-10-01,1,PR,CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,1,514.63
2023-10-01,1,PR,CCLA SICOOB ARENITO PARANÁ / SÃO PAULO,1,880.99
2023-10-01,1,PR,COOP NOVOS CAMPOS,1,1011.52
2023-10-01,1,PR,INTER,1912,1442084.39
2023-10-01,1,PR,ITAU,757,524318.48
2023-10-01,1,PR,NUBANK,3157,2046425.94
2023-10-01,1,PR,SANTANDER,475,310024.43
2023-10-01,1,PR,SICOOB CREDISUL,1,384.35
2023-10-01,1,PR,VOTORANTIM,23,20431.05
2023-10-01,1,RJ,BANCO SICOOB,16,12502.81
2023-10-01,1,RJ,BB,474,253832.7
2023-10-01,1,RJ,BMG,1301,1004922.11
2023-10-01,1,RJ,BRADESCO,1732,1133206.68
2023-10-01,1,RJ,BTG PACTUAL,2599,1943221.28
2023-10-01,1,RJ,C6 BANK,589,383008.6
2023-10-01,1,RJ,CAIXA ECONÔMICA FEDERAL,1233,782033.77
2023-10-01,1,RJ,INTER,5458,3926225.74
2023-10-01,1,RJ,ITAU,3246,2116330.5
2023-10-01,1,RJ,NUBANK,9343,5631137.34
2023-10-01,1,RJ,SANTANDER,2206,1436667.85
2023-10-01,1,RJ,VOTORANTIM,79,60321.99
2023-10-01,1,RN,BANCO SICOOB,1,532.19
2023-10-01,1,RN,BB,204,118482.0
2023-10-01,1,RN,BMG,211,177527.55
2023-10-01,1,RN,BRADESCO,196,134249.98
2023-10-01,1,RN,BTG PACTUAL,397,283737.29
2023-10-01,1,RN,C6 BANK,57,36966.0
2023-10-01,1,RN,CAIXA ECONÔMICA FEDERAL,176,123505.79
